"Date","Team","Opp","BO","Pos","PA","H","2B","3B","HR","R","RBI","SB","CS","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+"
"<a href=""wins.aspx?date=2050-01-01&team=total&dh=0"">2050-01-01</a>","- - -","- - -","- - -","- - -","151","22","3","0","4","11","11","0","0","8.6 %","21.9 %",".111",".182",".163",".240",".274",".227","33"
"<a href=""wins.aspx?date=2017-09-24&team=Nationals&dh=0"">2017-09-24</a>","WSN","@NYM","8","C","3","2","0","0","0","0","1","0","0","0.0 %","0.0 %",".000",".667",".667",".667",".667",".584","268"
"<a href=""wins.aspx?date=2017-09-21&team=Nationals&dh=0"">2017-09-21</a>","WSN","@ATL","3","C","1","0","0","0","0","0","0","0","0","0.0 %","100.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-09-16&team=Nationals&dh=0"">2017-09-16</a>","WSN","LAD","9","C","0","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000",""
"<a href=""wins.aspx?date=2017-09-14&team=Nationals&dh=0"">2017-09-14</a>","WSN","ATL","8","C","1","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000","1.000",".000",".722","359"
"<a href=""wins.aspx?date=2017-09-06&team=Nationals&dh=0"">2017-09-06</a>","WSN","@MIA","8","C","4","1","0","0","0","0","1","0","0","25.0 %","0.0 %",".000",".333",".333",".500",".333",".392","142"
"<a href=""wins.aspx?date=2017-09-03&team=Nationals&dh=0"">2017-09-03</a>","WSN","@MIL","8","C","2","0","0","0","0","0","0","0","0","0.0 %","50.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-09-02&team=Nationals&dh=0"">2017-09-02</a>","WSN","@MIL","8","C","2","0","0","0","0","0","0","0","0","0.0 %","50.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-09-01&team=Nationals&dh=0"">2017-09-01</a>","WSN","@MIL","8","C","3","0","0","0","0","0","0","0","0","33.3 %","33.3 %",".000",".000",".000",".333",".000",".231","35"
"<a href=""wins.aspx?date=2017-08-30&team=Nationals&dh=0"">2017-08-30</a>","WSN","MIA","8","C","4","0","0","0","0","0","0","0","0","25.0 %","0.0 %",".000",".000",".000",".250",".000",".000","-100"
"<a href=""wins.aspx?date=2017-08-27&team=Nationals&dh=2"">2017-08-27</a>","WSN","NYM","8","C","2","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-08-25&team=Nationals&dh=0"">2017-08-25</a>","WSN","NYM","8","C","3","1","0","0","0","0","0","0","0","0.0 %","33.3 %",".000",".500",".333",".333",".333",".292","76"
"<a href=""wins.aspx?date=2017-08-19&team=Nationals&dh=0"">2017-08-19</a>","WSN","@SDP","8","C","3","1","0","0","0","1","0","0","0","0.0 %","0.0 %",".000",".333",".333",".333",".333",".292","76"
"<a href=""wins.aspx?date=2017-08-16&team=Nationals&dh=0"">2017-08-16</a>","WSN","LAA","8","C","4","0","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-08-13&team=Nationals&dh=1"">2017-08-13</a>","WSN","SFG","8","C","3","0","0","0","0","0","0","0","0","33.3 %","33.3 %",".000",".000",".000",".333",".000",".231","35"
"<a href=""wins.aspx?date=2017-08-08&team=Nationals&dh=0"">2017-08-08</a>","WSN","MIA","8","C","4","1","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".219","28"
