"Date","Team","Opp","BO","Pos","PA","H","2B","3B","HR","R","RBI","SB","CS","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+"
"<a href=""wins.aspx?date=2050-01-01&team=total&dh=0"">2050-01-01</a>","- - -","- - -","- - -","- - -","71","17","6","0","0","6","10","0","2","1.4 %","32.4 %",".090",".386",".254",".275",".343",".267","59"
"<a href=""wins.aspx?date=2017-09-25&team=Nationals&dh=0"">2017-09-25</a>","WSN","@PHI","8","2B","4","0","0","0","0","0","0","0","0","0.0 %","75.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-09-22&team=Nationals&dh=0"">2017-09-22</a>","WSN","@NYM","7","3B","4","0","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-09-21&team=Nationals&dh=0"">2017-09-21</a>","WSN","@ATL","4","2B","0","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000",""
"<a href=""wins.aspx?date=2017-09-15&team=Nationals&dh=0"">2017-09-15</a>","WSN","LAD","9","PH","1","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-09-14&team=Nationals&dh=0"">2017-09-14</a>","WSN","ATL","7","3B","3","1","1","0","0","0","2","0","0","33.3 %","0.0 %",".500",".500",".500",".667","1.000",".641","306"
"<a href=""wins.aspx?date=2017-09-12&team=Nationals&dh=0"">2017-09-12</a>","WSN","ATL","9","2B","0","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000",""
"<a href=""wins.aspx?date=2017-09-10&team=Nationals&dh=0"">2017-09-10</a>","WSN","PHI","2","3B","4","1","1","0","0","1","1","0","0","0.0 %","50.0 %",".250",".500",".250",".250",".500",".308","86"
"<a href=""wins.aspx?date=2017-09-09&team=Nationals&dh=0"">2017-09-09</a>","WSN","PHI","9","PH","1","0","0","0","0","0","0","0","0","0.0 %","100.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-08-26&team=Nationals&dh=0"">2017-08-26</a>","WSN","NYM","8","2B","4","2","0","0","0","0","3","0","0","0.0 %","25.0 %",".000",".667",".500",".500",".500",".438","172"
"<a href=""wins.aspx?date=2017-08-25&team=Nationals&dh=0"">2017-08-25</a>","WSN","NYM","2","3B","4","1","0","0","0","0","1","0","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".219","28"
"<a href=""wins.aspx?date=2017-08-19&team=Nationals&dh=0"">2017-08-19</a>","WSN","@SDP","2","SS","3","1","1","0","0","0","1","0","0","0.0 %","33.3 %",".333",".500",".333",".333",".667",".411","154"
"<a href=""wins.aspx?date=2017-08-17&team=Nationals&dh=0"">2017-08-17</a>","WSN","@SDP","9","PH","1","0","0","0","0","0","0","0","0","0.0 %","100.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-08-13&team=Nationals&dh=1"">2017-08-13</a>","WSN","SFG","2","2B","4","0","0","0","0","0","0","0","0","0.0 %","75.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-08-10&team=Nationals&dh=0"">2017-08-10</a>","WSN","MIA","8","3B","3","1","1","0","0","1","0","0","0","0.0 %","33.3 %",".333",".500",".333",".333",".667",".411","154"
"<a href=""wins.aspx?date=2017-08-09&team=Nationals&dh=0"">2017-08-09</a>","WSN","MIA","2","2B","5","2","1","0","0","2","0","0","0","0.0 %","0.0 %",".333",".667",".667",".750","1.000",".708","349"
