"Date","Team","Opp","BO","Pos","PA","H","2B","3B","HR","R","RBI","SB","CS","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+"
"<a href=""wins.aspx?date=2050-01-01&team=total&dh=0"">2050-01-01</a>","- - -","- - -","- - -","- - -","63","8","2","2","0","7","6","1","0","4.8 %","25.4 %",".107",".190",".143",".180",".250",".174","-2"
"<a href=""wins.aspx?date=2017-09-24&team=Nationals&dh=0"">2017-09-24</a>","WSN","@NYM","2","LF","4","0","0","0","0","0","0","0","0","25.0 %","50.0 %",".000",".000",".000",".250",".000",".173","-3"
"<a href=""wins.aspx?date=2017-09-23&team=Nationals&dh=0"">2017-09-23</a>","WSN","@NYM","9","PH","1","0","0","0","0","0","0","0","0","0.0 %","100.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-09-22&team=Nationals&dh=0"">2017-09-22</a>","WSN","@NYM","2","LF","5","1","0","1","0","2","0","0","0","0.0 %","0.0 %",".400",".200",".200",".200",".600",".310","88"
"<a href=""wins.aspx?date=2017-09-19&team=Nationals&dh=0"">2017-09-19</a>","WSN","@ATL","2","PR-RF","0","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000",""
"<a href=""wins.aspx?date=2017-09-14&team=Nationals&dh=0"">2017-09-14</a>","WSN","ATL","9","PH","1","0","0","0","0","0","0","0","0","0.0 %","100.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-09-10&team=Nationals&dh=0"">2017-09-10</a>","WSN","PHI","9","PH","1","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-09-09&team=Nationals&dh=0"">2017-09-09</a>","WSN","PHI","7","RF","2","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-09-08&team=Nationals&dh=0"">2017-09-08</a>","WSN","PHI","8","RF-LF","5","0","0","0","0","0","0","0","0","0.0 %","20.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-09-07&team=Nationals&dh=0"">2017-09-07</a>","WSN","PHI","8","RF","2","1","0","0","0","0","1","0","0","50.0 %","0.0 %",".000","1.000","1.000","1.000","1.000",".876","460"
"<a href=""wins.aspx?date=2017-09-06&team=Nationals&dh=0"">2017-09-06</a>","WSN","@MIA","6","RF","1","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-09-05&team=Nationals&dh=0"">2017-09-05</a>","WSN","@MIA","2","LF","4","2","1","0","0","0","0","0","0","0.0 %","0.0 %",".250",".500",".500",".500",".750",".527","230"
"<a href=""wins.aspx?date=2017-09-04&team=Nationals&dh=0"">2017-09-04</a>","WSN","@MIA","2","LF","0","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000",""
"<a href=""wins.aspx?date=2017-09-02&team=Nationals&dh=0"">2017-09-02</a>","WSN","@MIL","9","PH-LF","1","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-08-30&team=Nationals&dh=0"">2017-08-30</a>","WSN","MIA","6","PR-RF","0","0","0","0","0","1","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000",""
"<a href=""wins.aspx?date=2017-08-29&team=Nationals&dh=0"">2017-08-29</a>","WSN","MIA","2","CF-RF","5","1","0","0","0","1","0","0","0","0.0 %","40.0 %",".000",".333",".200",".200",".200",".175","-1"
"<a href=""wins.aspx?date=2017-08-28&team=Nationals&dh=0"">2017-08-28</a>","WSN","MIA","9","PH-RF","1","0","0","0","0","0","1","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-08-27&team=Nationals&dh=2"">2017-08-27</a>","WSN","NYM","1","LF","4","0","0","0","0","0","0","0","0","0.0 %","50.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-08-27&team=Nationals&dh=1"">2017-08-27</a>","WSN","NYM","7","LF-RF","5","2","1","1","0","1","2","0","0","0.0 %","20.0 %",".750",".500",".500",".400","1.250",".557","250"
"<a href=""wins.aspx?date=2017-08-25&team=Nationals&dh=0"">2017-08-25</a>","WSN","NYM","7","LF","3","0","0","0","0","0","0","0","0","0.0 %","33.3 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-08-24&team=Nationals&dh=0"">2017-08-24</a>","WSN","@HOU","9","RF-LF","4","0","0","0","0","0","1","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-08-22&team=Nationals&dh=0"">2017-08-22</a>","WSN","@HOU","1","RF","4","0","0","0","0","0","0","0","0","0.0 %","50.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-08-20&team=Nationals&dh=0"">2017-08-20</a>","WSN","@SDP","1","RF-LF","5","1","0","0","0","1","0","1","0","20.0 %","20.0 %",".000",".333",".250",".400",".250",".314","90"
