"Date","Team","Opp","BO","Pos","PA","H","2B","3B","HR","R","RBI","SB","CS","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+"
"<a href=""wins.aspx?date=2050-01-01&team=total&dh=0"">2050-01-01</a>","- - -","- - -","- - -","- - -","27","5","1","0","0","0","3","0","0","0.0 %","33.3 %",".037",".278",".185",".185",".222",".175","-1"
"<a href=""wins.aspx?date=2017-09-22&team=Nationals&dh=0"">2017-09-22</a>","WSN","@NYM","8","C","4","0","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-09-16&team=Nationals&dh=0"">2017-09-16</a>","WSN","LAD","8","C","2","0","0","0","0","0","0","0","0","0.0 %","50.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-09-14&team=Nationals&dh=0"">2017-09-14</a>","WSN","ATL","8","PR-C","2","0","0","0","0","0","1","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-09-12&team=Nationals&dh=0"">2017-09-12</a>","WSN","ATL","8","C","1","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-09-10&team=Nationals&dh=0"">2017-09-10</a>","WSN","PHI","7","C","3","0","0","0","0","0","0","0","0","0.0 %","66.7 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-09-05&team=Nationals&dh=0"">2017-09-05</a>","WSN","@MIA","8","C","4","2","0","0","0","0","1","0","0","0.0 %","25.0 %",".000",".667",".500",".500",".500",".438","172"
"<a href=""wins.aspx?date=2017-08-24&team=Nationals&dh=0"">2017-08-24</a>","WSN","@HOU","8","DH","3","1","0","0","0","0","0","0","0","0.0 %","33.3 %",".000",".500",".333",".333",".333",".292","76"
"<a href=""wins.aspx?date=2017-08-19&team=Nationals&dh=0"">2017-08-19</a>","WSN","@SDP","9","PH","1","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-08-15&team=Nationals&dh=0"">2017-08-15</a>","WSN","LAA","9","PH","1","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-08-13&team=Nationals&dh=2"">2017-08-13</a>","WSN","SFG","9","C","1","0","0","0","0","0","0","0","0","0.0 %","100.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-07-30&team=Nationals&dh=1"">2017-07-30</a>","WSN","COL","9","PH","1","1","0","0","0","0","0","0","0","0.0 %","0.0 %",".000","1.000","1.000","1.000","1.000",".876","460"
"<a href=""wins.aspx?date=2017-07-29&team=Nationals&dh=0"">2017-07-29</a>","WSN","COL","9","PH","1","0","0","0","0","0","0","0","0","0.0 %","100.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-07-27&team=Nationals&dh=0"">2017-07-27</a>","WSN","MIL","3","PH","1","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-07-26&team=Nationals&dh=0"">2017-07-26</a>","WSN","MIL","8","PR-C","1","1","1","0","0","0","1","0","0","0.0 %","0.0 %","1.000","1.000","1.000","1.000","2.000","1.232","694"
"<a href=""wins.aspx?date=2017-07-25&team=Nationals&dh=0"">2017-07-25</a>","WSN","MIL","9","PH","1","0","0","0","0","0","0","0","0","0.0 %","100.0 %",".000",".000",".000",".000",".000",".000","-100"
