"Date","Team","Opp","BO","Pos","PA","H","2B","3B","HR","R","RBI","SB","CS","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+"
"<a href=""wins.aspx?date=2050-01-01&team=total&dh=0"">2050-01-01</a>","- - -","- - -","- - -","- - -","452","93","20","0","10","43","52","1","0","7.7 %","20.4 %",".121",".264",".226",".285",".347",".272","62"
"<a href=""wins.aspx?date=2017-09-25&team=Nationals&dh=0"">2017-09-25</a>","WSN","@PHI","7","C","4","1","0","0","0","0","0","0","0","25.0 %","0.0 %",".000",".333",".333",".500",".333",".392","142"
"<a href=""wins.aspx?date=2017-09-23&team=Nationals&dh=0"">2017-09-23</a>","WSN","@NYM","8","C","5","1","0","0","1","1","1","0","0","0.0 %","0.0 %",".600",".000",".200",".200",".800",".396","144"
"<a href=""wins.aspx?date=2017-09-21&team=Nationals&dh=0"">2017-09-21</a>","WSN","@ATL","8","C","3","1","0","0","0","0","1","0","0","0.0 %","0.0 %",".000",".333",".333",".333",".333",".292","76"
"<a href=""wins.aspx?date=2017-09-20&team=Nationals&dh=0"">2017-09-20</a>","WSN","@ATL","8","C","4","0","0","0","0","0","0","0","0","25.0 %","50.0 %",".000",".000",".000",".250",".000",".000","-100"
"<a href=""wins.aspx?date=2017-09-19&team=Nationals&dh=0"">2017-09-19</a>","WSN","@ATL","8","C","4","1","1","0","0","1","0","0","0","0.0 %","0.0 %",".250",".250",".250",".250",".500",".308","86"
"<a href=""wins.aspx?date=2017-09-17&team=Nationals&dh=0"">2017-09-17</a>","WSN","LAD","8","C","4","0","0","0","0","1","0","0","0","25.0 %","25.0 %",".000",".000",".000",".250",".000",".173","-3"
"<a href=""wins.aspx?date=2017-09-15&team=Nationals&dh=0"">2017-09-15</a>","WSN","LAD","8","C","4","0","0","0","0","0","0","0","0","0.0 %","75.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-09-13&team=Nationals&dh=0"">2017-09-13</a>","WSN","ATL","8","C","3","0","0","0","0","0","0","0","0","0.0 %","66.7 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-09-12&team=Nationals&dh=0"">2017-09-12</a>","WSN","ATL","8","C","3","0","0","0","0","0","0","0","0","33.3 %","0.0 %",".000",".000",".000",".333",".000",".231","35"
