"Date","Team","Opp","BO","Pos","PA","H","2B","3B","HR","R","RBI","SB","CS","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+"
"<a href=""wins.aspx?date=2050-01-01&team=total&dh=0"">2050-01-01</a>","- - -","- - -","- - -","- - -","424","109","23","6","11","72","45","42","6","6.4 %","18.2 %",".173",".320",".277",".328",".450",".332","102"
"<a href=""wins.aspx?date=2017-09-25&team=Nationals&dh=0"">2017-09-25</a>","WSN","@PHI","1","SS","5","0","0","0","0","0","0","0","0","0.0 %","60.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-09-24&team=Nationals&dh=0"">2017-09-24</a>","WSN","@NYM","1","SS","4","1","0","0","1","1","2","0","0","0.0 %","50.0 %",".750",".000",".250",".250","1.000",".495","209"
"<a href=""wins.aspx?date=2017-09-23&team=Nationals&dh=0"">2017-09-23</a>","WSN","@NYM","1","SS","5","1","1","0","0","0","0","0","0","0.0 %","0.0 %",".200",".200",".200",".200",".400",".246","45"
"<a href=""wins.aspx?date=2017-09-21&team=Nationals&dh=0"">2017-09-21</a>","WSN","@ATL","1","SS","4","1","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".219","28"
"<a href=""wins.aspx?date=2017-09-20&team=Nationals&dh=0"">2017-09-20</a>","WSN","@ATL","1","SS","5","2","1","0","1","2","1","0","0","0.0 %","20.0 %",".800",".333",".400",".400","1.200",".642","306"
"<a href=""wins.aspx?date=2017-09-19&team=Nationals&dh=0"">2017-09-19</a>","WSN","@ATL","1","SS","5","2","1","0","0","2","1","2","0","20.0 %","0.0 %",".250",".500",".500",".600",".750",".560","252"
"<a href=""wins.aspx?date=2017-09-17&team=Nationals&dh=0"">2017-09-17</a>","WSN","LAD","1","SS","5","0","0","0","0","0","0","0","0","20.0 %","20.0 %",".000",".000",".000",".200",".000",".139","-25"
"<a href=""wins.aspx?date=2017-09-16&team=Nationals&dh=0"">2017-09-16</a>","WSN","LAD","1","SS","4","1","0","0","0","0","1","0","0","0.0 %","50.0 %",".000",".500",".250",".250",".250",".219","28"
"<a href=""wins.aspx?date=2017-09-15&team=Nationals&dh=0"">2017-09-15</a>","WSN","LAD","1","SS","4","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".250",".000",".181","2"
"<a href=""wins.aspx?date=2017-09-14&team=Nationals&dh=0"">2017-09-14</a>","WSN","ATL","1","SS","4","1","1","0","0","1","0","0","0","0.0 %","25.0 %",".250",".333",".250",".250",".500",".308","86"
"<a href=""wins.aspx?date=2017-09-13&team=Nationals&dh=0"">2017-09-13</a>","WSN","ATL","1","SS","4","3","0","0","0","2","0","1","0","0.0 %","0.0 %",".000",".750",".750",".750",".750",".657","316"
"<a href=""wins.aspx?date=2017-09-12&team=Nationals&dh=0"">2017-09-12</a>","WSN","ATL","1","SS","4","1","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".219","28"
"<a href=""wins.aspx?date=2017-09-10&team=Nationals&dh=0"">2017-09-10</a>","WSN","PHI","1","SS","4","2","0","1","1","2","1","0","0","0.0 %","0.0 %","1.250",".333",".500",".500","1.750",".882","464"
"<a href=""wins.aspx?date=2017-09-09&team=Nationals&dh=0"">2017-09-09</a>","WSN","PHI","1","SS","4","0","0","0","0","0","0","1","0","0.0 %","75.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-09-08&team=Nationals&dh=0"">2017-09-08</a>","WSN","PHI","1","SS","5","3","1","0","1","2","3","0","0","20.0 %","0.0 %","1.000",".667",".750",".800","1.750",".956","513"
"<a href=""wins.aspx?date=2017-09-07&team=Nationals&dh=0"">2017-09-07</a>","WSN","PHI","1","SS","4","1","0","0","0","0","2","0","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".219","28"
"<a href=""wins.aspx?date=2017-09-06&team=Nationals&dh=0"">2017-09-06</a>","WSN","@MIA","1","SS","5","2","1","0","0","2","0","0","0","20.0 %","0.0 %",".250",".500",".500",".600",".750",".560","252"
"<a href=""wins.aspx?date=2017-09-05&team=Nationals&dh=0"">2017-09-05</a>","WSN","@MIA","1","SS","4","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-09-04&team=Nationals&dh=0"">2017-09-04</a>","WSN","@MIA","1","SS","5","0","0","0","0","1","0","0","0","20.0 %","0.0 %",".000",".000",".000",".200",".000",".139","-25"
"<a href=""wins.aspx?date=2017-09-03&team=Nationals&dh=0"">2017-09-03</a>","WSN","@MIL","1","SS","4","1","1","0","0","0","0","0","0","25.0 %","50.0 %",".333","1.000",".333",".500",".667",".481","200"
"<a href=""wins.aspx?date=2017-09-02&team=Nationals&dh=0"">2017-09-02</a>","WSN","@MIL","1","SS","4","1","1","0","0","0","1","0","0","0.0 %","25.0 %",".250",".333",".250",".250",".500",".308","86"
"<a href=""wins.aspx?date=2017-09-01&team=Nationals&dh=0"">2017-09-01</a>","WSN","@MIL","1","SS","4","0","0","0","0","0","0","1","0","25.0 %","50.0 %",".000",".000",".000",".250",".000",".173","-3"
"<a href=""wins.aspx?date=2017-08-31&team=Nationals&dh=0"">2017-08-31</a>","WSN","@MIL","1","SS","4","3","1","1","0","2","1","1","0","0.0 %","0.0 %",".750",".750",".750",".750","1.500",".915","486"
"<a href=""wins.aspx?date=2017-08-30&team=Nationals&dh=0"">2017-08-30</a>","WSN","MIA","1","SS","4","0","0","0","0","1","0","1","0","25.0 %","0.0 %",".000",".000",".000",".250",".000",".173","-3"
"<a href=""wins.aspx?date=2017-08-29&team=Nationals&dh=0"">2017-08-29</a>","WSN","MIA","1","SS","5","1","1","0","0","1","0","0","0","20.0 %","20.0 %",".250",".333",".250",".400",".500",".385","137"
"<a href=""wins.aspx?date=2017-06-29&team=Nationals&dh=0"">2017-06-29</a>","WSN","CHC","1","SS","4","1","0","0","0","0","0","2","1","25.0 %","0.0 %",".000",".500",".500",".750",".500",".573","260"
"<a href=""wins.aspx?date=2017-06-28&team=Nationals&dh=0"">2017-06-28</a>","WSN","CHC","1","SS","5","2","1","0","0","2","0","1","0","20.0 %","0.0 %",".250",".500",".500",".600",".750",".560","252"
"<a href=""wins.aspx?date=2017-06-27&team=Nationals&dh=0"">2017-06-27</a>","WSN","CHC","1","SS","5","2","0","0","0","2","0","4","0","20.0 %","20.0 %",".000",".667",".500",".600",".500",".489","205"
"<a href=""wins.aspx?date=2017-06-26&team=Nationals&dh=0"">2017-06-26</a>","WSN","CHC","1","SS","5","1","0","0","0","0","0","0","0","20.0 %","0.0 %",".000",".250",".250",".400",".250",".314","90"
"<a href=""wins.aspx?date=2017-06-25&team=Nationals&dh=0"">2017-06-25</a>","WSN","CIN","1","SS","4","0","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-06-24&team=Nationals&dh=0"">2017-06-24</a>","WSN","CIN","1","SS","6","5","0","0","0","4","2","0","0","16.7 %","0.0 %",".000","1.000","1.000","1.000","1.000",".846","440"
"<a href=""wins.aspx?date=2017-06-23&team=Nationals&dh=0"">2017-06-23</a>","WSN","CIN","1","SS","6","2","0","0","0","1","0","1","0","16.7 %","33.3 %",".000",".667",".400",".500",".400",".408","152"
"<a href=""wins.aspx?date=2017-06-21&team=Nationals&dh=0"">2017-06-21</a>","WSN","@MIA","1","SS","4","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-06-20&team=Nationals&dh=0"">2017-06-20</a>","WSN","@MIA","1","SS","5","0","0","0","0","2","0","1","0","20.0 %","0.0 %",".000",".000",".000",".200",".000",".139","-25"
"<a href=""wins.aspx?date=2017-06-19&team=Nationals&dh=0"">2017-06-19</a>","WSN","@MIA","1","SS","5","2","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".400",".400",".400",".400",".351","114"
"<a href=""wins.aspx?date=2017-06-18&team=Nationals&dh=0"">2017-06-18</a>","WSN","@NYM","1","SS","4","1","0","0","0","0","0","4","0","25.0 %","0.0 %",".000",".333",".333",".500",".333",".392","142"
"<a href=""wins.aspx?date=2017-06-17&team=Nationals&dh=0"">2017-06-17</a>","WSN","@NYM","1","SS","5","2","0","0","1","2","1","0","1","0.0 %","20.0 %",".600",".333",".400",".400","1.000",".571","259"
"<a href=""wins.aspx?date=2017-06-16&team=Nationals&dh=0"">2017-06-16</a>","WSN","@NYM","1","SS","5","1","1","0","0","0","0","0","0","0.0 %","20.0 %",".200",".250",".200",".200",".400",".246","45"
"<a href=""wins.aspx?date=2017-06-15&team=Nationals&dh=0"">2017-06-15</a>","WSN","@NYM","1","SS","5","0","0","0","0","1","0","0","0","0.0 %","20.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-06-14&team=Nationals&dh=0"">2017-06-14</a>","WSN","ATL","1","SS","4","1","0","0","0","0","0","0","1","0.0 %","0.0 %",".000",".250",".250",".250",".250",".219","28"
"<a href=""wins.aspx?date=2017-06-13&team=Nationals&dh=0"">2017-06-13</a>","WSN","ATL","1","SS","5","1","0","0","0","0","1","1","0","0.0 %","20.0 %",".000",".250",".200",".200",".200",".175","-1"
"<a href=""wins.aspx?date=2017-06-12&team=Nationals&dh=0"">2017-06-12</a>","WSN","ATL","1","SS","6","3","0","0","1","2","2","0","0","0.0 %","33.3 %",".500",".667",".500",".500","1.000",".622","293"
"<a href=""wins.aspx?date=2017-06-10&team=Nationals&dh=0"">2017-06-10</a>","WSN","TEX","1","SS","5","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-06-09&team=Nationals&dh=0"">2017-06-09</a>","WSN","TEX","1","SS","5","0","0","0","0","0","0","0","0","20.0 %","0.0 %",".000",".000",".000",".200",".000",".139","-25"
"<a href=""wins.aspx?date=2017-06-08&team=Nationals&dh=0"">2017-06-08</a>","WSN","BAL","1","SS","5","3","0","0","0","2","0","3","0","20.0 %","20.0 %",".000","1.000",".750",".800",".750",".664","321"
"<a href=""wins.aspx?date=2017-06-07&team=Nationals&dh=0"">2017-06-07</a>","WSN","@LAD","1","SS","4","1","0","1","0","0","0","0","0","0.0 %","50.0 %",".500",".500",".250",".250",".750",".388","139"
