Date	Team	Opp	BO	Pos	PA	H	2B	3B	HR	R	RBI	SB	CS	BB%	K%	ISO	BABIP	AVG	OBP	SLG	wOBA	wRC+
"<a href=""wins.aspx?date=2050-01-01&team=total&dh=0"">2050-01-01</a>"	- - -	- - -	- - -	- - -	472	131	27	1	29	92	87	2	2	14.00%	19.50%	0.289	0.359	0.326	0.419	0.614	0.425	163
"<a href=""wins.aspx?date=2017-08-12&team=Nationals&dh=0"">2017-08-12</a>"	WSN	SFG	3	RF	1	0	0	0	0	0	0	0	0	0.00%	0.00%	0	0	0	0	0	0	-100
"<a href=""wins.aspx?date=2017-08-10&team=Nationals&dh=0"">2017-08-10</a>"	WSN	MIA	3	RF	4	1	1	0	0	0	1	0	0	0.00%	0.00%	0.25	0.25	0.25	0.25	0.5	0.308	86
"<a href=""wins.aspx?date=2017-08-09&team=Nationals&dh=0"">2017-08-09</a>"	WSN	MIA	3	RF	5	2	0	0	0	2	2	0	0	0.00%	0.00%	0	0.4	0.5	0.4	0.5	0.351	114
"<a href=""wins.aspx?date=2017-08-08&team=Nationals&dh=0"">2017-08-08</a>"	WSN	MIA	3	RF	5	0	0	0	0	0	2	0	0	40.00%	0.00%	0	0	0	0.4	0	0.277	66
"<a href=""wins.aspx?date=2017-08-07&team=Nationals&dh=0"">2017-08-07</a>"	WSN	MIA	3	RF	4	2	0	0	1	1	1	0	0	0.00%	25.00%	0.75	0.5	0.5	0.5	1.25	0.714	353
"<a href=""wins.aspx?date=2017-08-06&team=Nationals&dh=0"">2017-08-06</a>"	WSN	@CHC	3	RF	5	1	0	0	0	1	0	0	0	0.00%	60.00%	0	0.5	0.2	0.2	0.2	0.175	-1
"<a href=""wins.aspx?date=2017-08-05&team=Nationals&dh=0"">2017-08-05</a>"	WSN	@CHC	3	RF	5	2	0	0	1	2	1	0	0	0.00%	40.00%	0.6	0.5	0.4	0.4	1	0.571	259
"<a href=""wins.aspx?date=2017-08-04&team=Nationals&dh=0"">2017-08-04</a>"	WSN	@CHC	3	RF	4	2	0	0	0	0	0	0	0	0.00%	0.00%	0	0.5	0.5	0.5	0.5	0.438	172
"<a href=""wins.aspx?date=2017-08-02&team=Nationals&dh=0"">2017-08-02</a>"	WSN	@MIA	3	RF	3	0	0	0	0	0	0	0	0	0.00%	0.00%	0	0	0	0	0	0	-100
"<a href=""wins.aspx?date=2017-08-01&team=Nationals&dh=0"">2017-08-01</a>"	WSN	@MIA	3	RF	5	1	0	0	0	0	0	0	0	0.00%	40.00%	0	0.333	0.2	0.2	0.2	0.175	-1
"<a href=""wins.aspx?date=2017-07-31&team=Nationals&dh=0"">2017-07-31</a>"	WSN	@MIA	3	RF	4	1	0	0	0	0	1	0	0	25.00%	25.00%	0	0.5	0.333	0.5	0.333	0.392	142
"<a href=""wins.aspx?date=2017-07-30&team=Nationals&dh=2"">2017-07-30</a>"	WSN	COL	9	PH-RF	1	0	0	0	0	0	0	0	0	0.00%	0.00%	0	0	0	0	0	0	-100
"<a href=""wins.aspx?date=2017-07-30&team=Nationals&dh=1"">2017-07-30</a>"	WSN	COL	3	RF	5	0	0	0	0	0	0	0	0	0.00%	40.00%	0	0	0	0	0	0	-100
"<a href=""wins.aspx?date=2017-07-29&team=Nationals&dh=0"">2017-07-29</a>"	WSN	COL	3	RF	4	0	0	0	0	0	0	0	0	0.00%	50.00%	0	0	0	0	0	0	-100
"<a href=""wins.aspx?date=2017-07-27&team=Nationals&dh=0"">2017-07-27</a>"	WSN	MIL	3	RF	5	3	1	0	2	3	4	0	0	0.00%	0.00%	1.4	0.333	0.6	0.6	2	1.038	566
"<a href=""wins.aspx?date=2017-07-26&team=Nationals&dh=0"">2017-07-26</a>"	WSN	MIL	3	RF	4	1	0	0	0	0	0	0	0	0.00%	25.00%	0	0.333	0.25	0.25	0.25	0.219	28
"<a href=""wins.aspx?date=2017-07-25&team=Nationals&dh=0"">2017-07-25</a>"	WSN	MIL	3	RF	4	1	1	0	0	0	0	0	0	0.00%	50.00%	0.25	0.5	0.25	0.25	0.5	0.308	86
"<a href=""wins.aspx?date=2017-07-23&team=Nationals&dh=0"">2017-07-23</a>"	WSN	@ARI	3	RF	5	1	0	0	0	1	0	0	0	0.00%	20.00%	0	0.25	0.2	0.2	0.2	0.175	-1
"<a href=""wins.aspx?date=2017-07-22&team=Nationals&dh=0"">2017-07-22</a>"	WSN	@ARI	3	RF	5	2	1	0	1	2	2	0	0	0.00%	20.00%	0.8	0.333	0.4	0.4	1.2	0.642	306
"<a href=""wins.aspx?date=2017-07-21&team=Nationals&dh=0"">2017-07-21</a>"	WSN	@ARI	3	RF	5	1	1	0	0	1	0	0	0	40.00%	20.00%	0.333	0.5	0.333	0.6	0.667	0.523	228
"<a href=""wins.aspx?date=2017-07-18&team=Nationals&dh=0"">2017-07-18</a>"	WSN	@LAA	3	RF	4	4	0	1	1	2	1	0	0	0.00%	0.00%	1.25	1	1	1	2.25	1.321	753
"<a href=""wins.aspx?date=2017-07-17&team=Nationals&dh=0"">2017-07-17</a>"	WSN	@CIN	3	RF	5	2	0	0	1	1	3	0	0	20.00%	20.00%	0.75	0.5	0.5	0.6	1.25	0.71	350
"<a href=""wins.aspx?date=2017-07-16&team=Nationals&dh=0"">2017-07-16</a>"	WSN	@CIN	3	RF	6	1	1	0	0	2	0	0	0	33.30%	16.70%	0.25	0.333	0.25	0.5	0.5	0.436	170
"<a href=""wins.aspx?date=2017-07-15&team=Nationals&dh=0"">2017-07-15</a>"	WSN	@CIN	3	RF	5	2	0	0	0	2	1	0	0	0.00%	20.00%	0	0.5	0.4	0.4	0.4	0.351	114
"<a href=""wins.aspx?date=2017-07-14&team=Nationals&dh=0"">2017-07-14</a>"	WSN	@CIN	3	RF	5	2	0	0	2	3	3	0	0	20.00%	20.00%	1.5	0	0.5	0.6	2	0.93	496
"<a href=""wins.aspx?date=2017-07-09&team=Nationals&dh=0"">2017-07-09</a>"	WSN	ATL	3	RF	5	2	0	0	0	2	1	0	0	20.00%	0.00%	0	0.5	0.5	0.6	0.5	0.489	205
"<a href=""wins.aspx?date=2017-07-08&team=Nationals&dh=0"">2017-07-08</a>"	WSN	ATL	2	RF	4	1	0	0	0	0	0	0	0	50.00%	25.00%	0	1	0.5	0.75	0.5	0.565	256
