"Date","Team","Opp","BO","Pos","PA","H","2B","3B","HR","R","RBI","SB","CS","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+"
"<a href=""wins.aspx?date=2050-01-01&team=total&dh=0"">2050-01-01</a>","- - -","- - -","- - -","- - -","293","81","14","0","14","39","57","1","0","9.2 %","15.7 %",".215",".325",".310",".369",".525",".370","127"
"<a href=""wins.aspx?date=2017-09-25&team=Nationals&dh=0"">2017-09-25</a>","WSN","@PHI","4","LF","3","1","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".333",".333",".333",".333",".292","76"
"<a href=""wins.aspx?date=2017-09-23&team=Nationals&dh=0"">2017-09-23</a>","WSN","@NYM","5","1B","3","2","0","0","1","1","2","0","0","33.3 %","0.0 %","1.500","1.000","1.000","1.000","2.500","1.183","662"
"<a href=""wins.aspx?date=2017-09-22&team=Nationals&dh=0"">2017-09-22</a>","WSN","@NYM","4","1B","5","1","0","0","1","2","3","0","0","40.0 %","0.0 %","1.000",".000",".333",".600","1.333",".668","323"
"<a href=""wins.aspx?date=2017-09-21&team=Nationals&dh=0"">2017-09-21</a>","WSN","@ATL","7","1B","0","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000",""
"<a href=""wins.aspx?date=2017-09-20&team=Nationals&dh=0"">2017-09-20</a>","WSN","@ATL","6","LF","4","1","0","0","0","0","2","0","0","0.0 %","50.0 %",".000",".500",".250",".250",".250",".219","28"
"<a href=""wins.aspx?date=2017-09-19&team=Nationals&dh=0"">2017-09-19</a>","WSN","@ATL","9","PH","1","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-09-17&team=Nationals&dh=0"">2017-09-17</a>","WSN","LAD","9","PH","1","1","0","0","1","1","2","0","0","0.0 %","0.0 %","3.000",".000","1.000","1.000","4.000","1.979","1186"
"<a href=""wins.aspx?date=2017-09-16&team=Nationals&dh=0"">2017-09-16</a>","WSN","LAD","9","PH","1","1","0","0","0","0","0","0","0","0.0 %","0.0 %",".000","1.000","1.000","1.000","1.000",".876","460"
"<a href=""wins.aspx?date=2017-09-14&team=Nationals&dh=0"">2017-09-14</a>","WSN","ATL","4","1B","4","2","0","0","0","2","0","0","0","25.0 %","0.0 %",".000",".667",".667",".750",".667",".611","286"
"<a href=""wins.aspx?date=2017-09-12&team=Nationals&dh=0"">2017-09-12</a>","WSN","ATL","6","LF","4","1","1","0","0","0","0","0","0","0.0 %","25.0 %",".250",".333",".250",".250",".500",".308","86"
"<a href=""wins.aspx?date=2017-09-10&team=Nationals&dh=0"">2017-09-10</a>","WSN","PHI","4","1B","4","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-09-09&team=Nationals&dh=0"">2017-09-09</a>","WSN","PHI","7","PH","1","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-09-07&team=Nationals&dh=0"">2017-09-07</a>","WSN","PHI","5","LF","3","2","0","0","0","1","0","0","0","0.0 %","33.3 %",".000","1.000",".667",".667",".667",".584","268"
"<a href=""wins.aspx?date=2017-09-06&team=Nationals&dh=0"">2017-09-06</a>","WSN","@MIA","9","PH","1","0","0","0","0","0","1","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-09-05&team=Nationals&dh=0"">2017-09-05</a>","WSN","@MIA","5","1B","4","2","1","0","0","1","0","0","0","25.0 %","0.0 %",".333",".667",".667",".750","1.000",".703","346"
"<a href=""wins.aspx?date=2017-09-03&team=Nationals&dh=0"">2017-09-03</a>","WSN","@MIL","8","PH","1","0","0","0","0","0","0","0","0","0.0 %","100.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-09-02&team=Nationals&dh=0"">2017-09-02</a>","WSN","@MIL","8","PH","1","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-09-01&team=Nationals&dh=0"">2017-09-01</a>","WSN","@MIL","7","PH","1","0","0","0","0","0","0","0","0","0.0 %","100.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-08-31&team=Nationals&dh=0"">2017-08-31</a>","WSN","@MIL","5","LF","4","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
