"Date","Team","Opp","BO","Pos","PA","H","2B","3B","HR","R","RBI","SB","CS","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+"
"<a href=""wins.aspx?date=2050-01-01&team=total&dh=0"">2050-01-01</a>","- - -","- - -","- - -","- - -","572","163","42","3","23","90","90","2","0","8.4 %","12.9 %",".226",".331",".315",".376",".542",".379","133"
"<a href=""wins.aspx?date=2017-09-24&team=Nationals&dh=0"">2017-09-24</a>","WSN","@NYM","3","2B","4","1","0","1","0","0","0","0","0","0.0 %","25.0 %",".500",".333",".250",".250",".750",".388","139"
"<a href=""wins.aspx?date=2017-09-23&team=Nationals&dh=0"">2017-09-23</a>","WSN","@NYM","3","2B","5","2","1","0","1","2","1","0","0","0.0 %","0.0 %",".800",".250",".400",".400","1.200",".642","306"
"<a href=""wins.aspx?date=2017-09-22&team=Nationals&dh=0"">2017-09-22</a>","WSN","@NYM","9","PH","1","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-09-21&team=Nationals&dh=0"">2017-09-21</a>","WSN","@ATL","3","2B","3","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-09-20&team=Nationals&dh=0"">2017-09-20</a>","WSN","@ATL","3","2B","5","1","1","0","0","1","1","0","0","20.0 %","20.0 %",".250",".333",".250",".400",".500",".385","137"
"<a href=""wins.aspx?date=2017-09-17&team=Nationals&dh=0"">2017-09-17</a>","WSN","LAD","4","2B","4","2","0","0","0","1","0","0","0","0.0 %","0.0 %",".000",".500",".500",".500",".500",".438","172"
"<a href=""wins.aspx?date=2017-09-16&team=Nationals&dh=0"">2017-09-16</a>","WSN","LAD","3","2B","4","0","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-09-15&team=Nationals&dh=0"">2017-09-15</a>","WSN","LAD","3","2B","4","0","0","0","0","0","0","0","0","25.0 %","75.0 %",".000",".000",".000",".250",".000",".173","-3"
"<a href=""wins.aspx?date=2017-09-12&team=Nationals&dh=0"">2017-09-12</a>","WSN","ATL","3","2B","4","1","0","0","0","0","0","0","0","25.0 %","0.0 %",".000",".333",".333",".500",".333",".392","142"
"<a href=""wins.aspx?date=2017-09-09&team=Nationals&dh=0"">2017-09-09</a>","WSN","PHI","3","2B","4","1","0","0","0","0","0","0","0","0.0 %","50.0 %",".000",".500",".250",".250",".250",".219","28"
"<a href=""wins.aspx?date=2017-09-08&team=Nationals&dh=0"">2017-09-08</a>","WSN","PHI","3","2B","5","2","1","0","0","1","0","0","0","20.0 %","0.0 %",".250",".500",".500",".600",".750",".560","252"
"<a href=""wins.aspx?date=2017-09-07&team=Nationals&dh=0"">2017-09-07</a>","WSN","PHI","3","2B","4","1","0","0","0","0","0","0","0","25.0 %","50.0 %",".000","1.000",".333",".500",".333",".392","142"
"<a href=""wins.aspx?date=2017-09-05&team=Nationals&dh=0"">2017-09-05</a>","WSN","@MIA","3","2B","4","2","0","0","1","1","1","0","0","0.0 %","0.0 %",".750",".333",".500",".500","1.250",".714","353"
"<a href=""wins.aspx?date=2017-09-04&team=Nationals&dh=0"">2017-09-04</a>","WSN","@MIA","3","2B","5","3","1","0","1","2","3","0","0","0.0 %","0.0 %",".800",".500",".600",".600","1.400",".817","421"
"<a href=""wins.aspx?date=2017-09-03&team=Nationals&dh=0"">2017-09-03</a>","WSN","@MIL","3","2B","4","0","0","0","0","1","0","0","0","25.0 %","25.0 %",".000",".000",".000",".250",".000",".173","-3"
"<a href=""wins.aspx?date=2017-09-02&team=Nationals&dh=0"">2017-09-02</a>","WSN","@MIL","3","2B","4","1","0","0","0","0","0","0","0","25.0 %","25.0 %",".000",".500",".333",".500",".333",".292","76"
"<a href=""wins.aspx?date=2017-09-01&team=Nationals&dh=0"">2017-09-01</a>","WSN","@MIL","3","2B","4","1","0","0","0","0","0","0","0","0.0 %","75.0 %",".000","1.000",".250",".250",".250",".219","28"
"<a href=""wins.aspx?date=2017-08-31&team=Nationals&dh=0"">2017-08-31</a>","WSN","@MIL","3","2B","4","0","0","0","0","0","0","0","0","25.0 %","50.0 %",".000",".000",".000",".250",".000",".173","-3"
"<a href=""wins.aspx?date=2017-08-29&team=Nationals&dh=0"">2017-08-29</a>","WSN","MIA","3","2B","4","2","1","0","0","1","2","0","0","25.0 %","0.0 %",".333",".667",".667",".750","1.000",".703","346"
"<a href=""wins.aspx?date=2017-08-28&team=Nationals&dh=0"">2017-08-28</a>","WSN","MIA","3","2B","5","1","0","0","0","2","1","1","0","20.0 %","20.0 %",".000",".333",".250",".400",".250",".314","90"
"<a href=""wins.aspx?date=2017-08-27&team=Nationals&dh=2"">2017-08-27</a>","WSN","NYM","3","2B","4","1","0","0","0","1","0","0","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".219","28"
"<a href=""wins.aspx?date=2017-08-27&team=Nationals&dh=1"">2017-08-27</a>","WSN","NYM","9","2B","2","1","1","0","0","0","0","0","0","0.0 %","0.0 %","1.000","1.000","1.000","1.000","2.000",".977","526"
"<a href=""wins.aspx?date=2017-08-26&team=Nationals&dh=0"">2017-08-26</a>","WSN","NYM","9","PH-2B","1","0","0","0","0","1","0","0","0","100.0 %","0.0 %",".000",".000",".000","1.000",".000",".693","339"
"<a href=""wins.aspx?date=2017-08-25&team=Nationals&dh=0"">2017-08-25</a>","WSN","NYM","3","2B","4","0","0","0","0","0","0","0","0","0.0 %","50.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-08-24&team=Nationals&dh=0"">2017-08-24</a>","WSN","@HOU","3","2B","5","0","0","0","0","0","0","0","0","0.0 %","20.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-08-23&team=Nationals&dh=0"">2017-08-23</a>","WSN","@HOU","3","2B","4","2","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".500",".500",".500",".500",".438","172"
"<a href=""wins.aspx?date=2017-08-22&team=Nationals&dh=0"">2017-08-22</a>","WSN","@HOU","3","2B","4","0","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-08-20&team=Nationals&dh=0"">2017-08-20</a>","WSN","@SDP","3","2B","5","1","0","0","0","1","2","0","0","20.0 %","0.0 %",".000",".250",".333",".400",".333",".314","90"
"<a href=""wins.aspx?date=2017-08-18&team=Nationals&dh=0"">2017-08-18</a>","WSN","@SDP","3","2B","5","1","0","0","0","0","1","0","0","20.0 %","20.0 %",".000",".333",".250",".400",".250",".314","90"
"<a href=""wins.aspx?date=2017-08-17&team=Nationals&dh=0"">2017-08-17</a>","WSN","@SDP","3","2B","4","0","0","0","0","0","0","0","0","0.0 %","50.0 %",".000",".000",".000",".250",".000",".181","2"
"<a href=""wins.aspx?date=2017-08-16&team=Nationals&dh=0"">2017-08-16</a>","WSN","LAA","3","2B","4","0","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-08-15&team=Nationals&dh=0"">2017-08-15</a>","WSN","LAA","3","2B","4","2","1","0","0","0","0","0","0","0.0 %","0.0 %",".250",".500",".500",".500",".750",".527","230"
"<a href=""wins.aspx?date=2017-08-13&team=Nationals&dh=2"">2017-08-13</a>","WSN","SFG","3","2B","5","2","0","0","1","2","1","0","0","20.0 %","20.0 %",".750",".500",".500",".600","1.250",".714","353"
"<a href=""wins.aspx?date=2017-08-13&team=Nationals&dh=1"">2017-08-13</a>","WSN","SFG","9","PH","1","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-08-12&team=Nationals&dh=0"">2017-08-12</a>","WSN","SFG","5","2B","4","1","0","0","0","0","1","0","0","25.0 %","25.0 %",".000",".500",".333",".500",".333",".392","142"
"<a href=""wins.aspx?date=2017-08-10&team=Nationals&dh=0"">2017-08-10</a>","WSN","MIA","5","2B","3","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-08-08&team=Nationals&dh=0"">2017-08-08</a>","WSN","MIA","9","PH","1","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-08-07&team=Nationals&dh=0"">2017-08-07</a>","WSN","MIA","5","2B","3","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-08-06&team=Nationals&dh=0"">2017-08-06</a>","WSN","@CHC","5","2B","4","2","1","0","0","2","0","0","0","25.0 %","25.0 %",".333","1.000",".667",".750","1.000",".703","346"
"<a href=""wins.aspx?date=2017-08-05&team=Nationals&dh=0"">2017-08-05</a>","WSN","@CHC","5","2B","4","1","0","0","0","1","0","0","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".219","28"
"<a href=""wins.aspx?date=2017-08-04&team=Nationals&dh=0"">2017-08-04</a>","WSN","@CHC","4","2B","4","3","0","0","2","2","3","0","0","0.0 %","0.0 %","1.500",".500",".750",".750","2.250","1.208","679"
"<a href=""wins.aspx?date=2017-08-01&team=Nationals&dh=0"">2017-08-01</a>","WSN","@MIA","5","2B","4","1","1","0","0","1","0","0","0","0.0 %","0.0 %",".250",".250",".250",".250",".500",".308","86"
"<a href=""wins.aspx?date=2017-07-31&team=Nationals&dh=0"">2017-07-31</a>","WSN","@MIA","5","2B","3","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-07-30&team=Nationals&dh=2"">2017-07-30</a>","WSN","COL","3","2B","3","0","0","0","0","0","0","0","0","0.0 %","33.3 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-07-30&team=Nationals&dh=1"">2017-07-30</a>","WSN","COL","9","PH-2B","2","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-07-29&team=Nationals&dh=0"">2017-07-29</a>","WSN","COL","5","2B","3","0","0","0","0","0","0","0","0","0.0 %","33.3 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-07-27&team=Nationals&dh=0"">2017-07-27</a>","WSN","MIL","5","2B","4","1","0","0","0","1","0","0","0","25.0 %","25.0 %",".000",".500",".333",".500",".333",".392","142"
"<a href=""wins.aspx?date=2017-07-26&team=Nationals&dh=0"">2017-07-26</a>","WSN","MIL","5","2B","4","1","0","0","1","2","1","0","0","25.0 %","25.0 %","1.000",".000",".333",".500","1.333",".660","317"
"<a href=""wins.aspx?date=2017-07-25&team=Nationals&dh=0"">2017-07-25</a>","WSN","MIL","5","2B","4","1","1","0","0","0","0","0","0","0.0 %","0.0 %",".250",".250",".250",".250",".500",".308","86"
