Name	G	PA	HR	R	RBI	SB	BB%	K%	ISO	BABIP	AVG	OBP	SLG	wOBA	wRC+	BsR	Off	Def	WAR	playerid
Anthony Rendon	143	588	24	76	96	7	13.80%	13.80%	0.233	0.314	0.3	0.401	0.532	0.392	141	1.8	33.1	15.7	6.7	12861
Bryce Harper	107	475	29	92	87	2	14.10%	19.60%	0.287	0.358	0.324	0.419	0.611	0.423	162	-0.7	37.1	-2.1	5	11579
Daniel Murphy	139	572	23	90	90	2	8.40%	12.90%	0.226	0.331	0.315	0.376	0.542	0.379	133	-1.3	22.7	-1.1	4	4316
Michael Taylor	113	412	17	53	51	16	6.60%	31.80%	0.207	0.364	0.27	0.316	0.476	0.333	102	2.6	3.8	12.8	3	11489
Ryan Zimmerman	140	563	34	88	103	1	7.60%	21.70%	0.26	0.33	0.299	0.353	0.559	0.38	134	1.8	26	-15.1	2.9	4220
Trea Turner	94	428	11	72	45	42	6.30%	18.00%	0.171	0.319	0.277	0.327	0.448	0.331	101	8.2	8.7	5.3	2.8	16252
Wilmer Difo	120	352	5	45	21	10	6.50%	20.70%	0.1	0.339	0.275	0.323	0.375	0.296	78	3.7	-6.2	6.7	1.2	14320
Adam Lind	113	293	14	39	57	1	9.20%	15.70%	0.215	0.325	0.31	0.369	0.525	0.37	127	-1.3	8.8	-7.3	1.1	8027
Howie Kendrick	49	174	7	24	25	4	6.30%	21.80%	0.2	0.345	0.294	0.345	0.494	0.355	117	-0.1	3.7	-2.9	0.6	4229
Adam Eaton	23	107	2	24	13	3	13.10%	16.80%	0.165	0.347	0.297	0.393	0.462	0.369	126	1.9	5.4	-3.4	0.5	11205
Brian Goodwin	74	278	13	41	30	6	8.30%	24.80%	0.247	0.291	0.251	0.313	0.498	0.337	105	-0.2	1.5	-5.3	0.5	12858
Max Scherzer	30	71	1	4	5	0	5.60%	21.10%	0.049	0.2	0.164	0.215	0.213	0.194	11	0	-8.1	8.4	0.3	3137
Stephen Strasburg	27	57	2	5	3	0	3.50%	22.80%	0.118	0.139	0.137	0.17	0.255	0.183	4	0	-7.1	6.7	0.2	10131
Joe Ross	20	37	0	1	1	0	2.70%	43.20%	0.061	0.353	0.182	0.206	0.242	0.196	12	0	-4.2	4.4	0.1	12972
Stephen Drew	46	106	1	9	17	0	7.50%	19.80%	0.105	0.303	0.253	0.302	0.358	0.285	70	0.2	-3.8	1.4	0.1	4251
Victor Robles	9	21	0	2	4	0	0.00%	19.00%	0.263	0.333	0.263	0.333	0.526	0.359	119	-0.3	0.2	0	0.1	18363
Joe Blanton	50	1	0	0	0	0	100.00%	0.00%	0	0	0	1	0	0.693	339	0	0.3	0.1	0	4849
Adrian Sanchez	32	71	0	6	10	0	1.40%	32.40%	0.09	0.386	0.254	0.275	0.343	0.267	59	-0.5	-4.2	2.4	0	11338
A.J. Cole	10	15	0	0	0	0	13.30%	33.30%	0	0.125	0.077	0.2	0.077	0.151	-18	0	-2.3	1.8	0	11467
Enny Romero	51	1	0	0	0	0	0.00%	100.00%	0	0	0	0	0	0	-100	0	-0.3	0.1	0	4001
Raudy Read	7	10	0	1	0	0	0.00%	30.00%	0	0.429	0.3	0.3	0.3	0.263	56	0	-0.6	0.1	0	15766
Jacob Turner	18	8	0	0	0	0	12.50%	25.00%	0	0	0	0.167	0	0.115	-41	0	-1.4	0.9	0	10185
Ryan Raburn	25	69	2	7	6	0	5.80%	36.20%	0.169	0.395	0.262	0.304	0.431	0.313	89	-1.2	-2.1	-0.7	-0.1	2218
Matt Grace	39	5	0	0	0	0	0.00%	80.00%	0	0	0	0	0	0	-100	0	-1.4	0.6	-0.1	11449
Erick Fedde	3	5	0	0	0	0	0.00%	60.00%	0	0	0	0	0	0	-100	0	-1.4	0.6	-0.1	17425
Edwin Jackson	18	19	0	3	0	0	0.00%	68.40%	0	0.333	0.105	0.105	0.105	0.092	-56	0	-3.8	2.2	-0.1	1841
Grant Green	2	3	0	0	0	0	0.00%	66.70%	0	0	0	0	0	0	-100	0	-0.8	-0.2	-0.1	10053
Gio Gonzalez	31	73	0	3	5	0	5.50%	38.40%	0	0.167	0.094	0.147	0.094	0.118	-39	0	-13.1	8.6	-0.2	7448
Pedro Severino	15	27	0	0	3	0	0.00%	33.30%	0.037	0.278	0.185	0.185	0.222	0.175	-1	0	-3.5	0.3	-0.2	14523
Rafael Bautista	16	26	0	1	0	0	7.70%	19.20%	0	0.211	0.167	0.231	0.167	0.188	7	-0.4	-3.5	0.3	-0.2	15769
Matt Wieters	120	455	10	43	52	1	7.70%	20.20%	0.12	0.265	0.227	0.286	0.347	0.272	62	-3.5	-25.6	8.4	-0.2	4298
Andrew Stevenson	36	66	0	5	1	1	10.60%	30.30%	0.035	0.243	0.158	0.25	0.193	0.21	21	1	-5.7	0.6	-0.3	17932
Tanner Roark	30	60	0	0	0	0	1.70%	33.30%	0.019	0.125	0.077	0.094	0.096	0.086	-60	0	-12.4	7.1	-0.3	8753
Jayson Werth	66	272	9	34	25	4	12.10%	23.50%	0.156	0.267	0.224	0.32	0.38	0.305	84	0.4	-5.2	-7.1	-0.3	1327
Chris Heisey	38	79	1	8	5	0	6.30%	27.80%	0.108	0.216	0.162	0.215	0.27	0.213	23	0.5	-7.3	-0.8	-0.6	3978
Jose Lobaton	48	151	4	11	11	0	8.60%	21.90%	0.111	0.182	0.163	0.24	0.274	0.227	32	0	-13.1	1.1	-0.7	4243
Alejandro DeAza	25	63	0	7	6	1	4.80%	25.40%	0.107	0.19	0.143	0.18	0.25	0.174	-2	0.8	-7.5	-1.9	-0.7	3371
