"","Entity.ID","Entity.Name","Plant.ID","Plant.Name","Sector","Plant.State","Generator.ID","Unit.Code","X.Nameplate.Capacity..MW.","X...Net.Summer.Capacity..MW.","X.Net.Winter.Capacity..MW.","Technology","Energy.Source.Code","Prime.Mover.Code","Operating.Month","Operating.Year","Planned.Retirement.Month","Planned.Retirement.Year","Status","Planned.Derate.Year","Planned.Derate.Month","Planned.Derate.of.Summer.Capacity..MW.","Planned.Uprate.Year","Planned.Uprate.Month","Planned.Uprate.of.Summer.Capacity..MW.","County","Latitude","Longitude","location","locationrev"
"1","9269","Indiana-Kentucky Electric Corp",983,"Clifty Creek","Electric Utility","IN","1","","217.3","195.5","199.7","Conventional Steam Coal","BIT","ST",2,1955,NA,NA,"(OP) Operating",NA,NA,NA,NA,NA,NA,"Jefferson",38.7378,-85.4206,"-85.4206, 38.7378","38.7378, -85.4206"
"2","9269","Indiana-Kentucky Electric Corp",983,"Clifty Creek","Electric Utility","IN","2","","217.3","195.5","199.7","Conventional Steam Coal","BIT","ST",5,1955,NA,NA,"(OP) Operating",NA,NA,NA,NA,NA,NA,"Jefferson",38.7378,-85.4206,"-85.4206, 38.7378","38.7378, -85.4206"
"3","9269","Indiana-Kentucky Electric Corp",983,"Clifty Creek","Electric Utility","IN","3","","217.3","195.5","199.7","Conventional Steam Coal","BIT","ST",7,1955,NA,NA,"(OP) Operating",NA,NA,NA,NA,NA,NA,"Jefferson",38.7378,-85.4206,"-85.4206, 38.7378","38.7378, -85.4206"
"4","9273","Indianapolis Power & Light Co",994,"AES Petersburg","Electric Utility","IN","ST2","","523.3","421.8","432.2","Conventional Steam Coal","BIT","ST",12,1969,NA,NA,"(OP) Operating",NA,NA,NA,NA,NA,NA,"Pike",38.5281,-87.2525,"-87.2525, 38.5281","38.5281, -87.2525"
"5","9273","Indianapolis Power & Light Co",994,"AES Petersburg","Electric Utility","IN","ST3","","670.9","527.6","540.3","Conventional Steam Coal","BIT","ST",11,1977,NA,NA,"(OP) Operating",NA,NA,NA,NA,NA,NA,"Pike",38.5281,-87.2525,"-87.2525, 38.5281","38.5281, -87.2525"
"6","14268","City of Owensboro - (KY)",1374,"Elmer Smith","Electric Utility","KY","1","","163.2","137.0","142.3","Conventional Steam Coal","BIT","ST",4,1964,NA,NA,"(OP) Operating",NA,NA,NA,NA,NA,NA,"Daviess",37.7942,-87.0608,"-87.0608, 37.7942","37.7942, -87.0608"
"7","18642","Tennessee Valley Authority",1378,"Paradise","Electric Utility","KY","3","","1,150.2","971.0","1,017.0","Conventional Steam Coal","SUB","ST",2,1970,NA,NA,"(OP) Operating",NA,NA,NA,NA,NA,NA,"Muhlenberg",37.2608,-86.9783,"-86.9783, 37.2608","37.2608, -86.9783"
"8","14015","Ohio Valley Electric Corp",2876,"Kyger Creek","Electric Utility","OH","1","","217.3","194.0","198.7","Conventional Steam Coal","BIT","ST",2,1955,NA,NA,"(OP) Operating",NA,NA,NA,NA,NA,NA,"Gallia",38.9144,-82.1289,"-82.1289, 38.9144","38.9144, -82.1289"
"9","14015","Ohio Valley Electric Corp",2876,"Kyger Creek","Electric Utility","OH","2","","217.3","192.2","198.0","Conventional Steam Coal","BIT","ST",6,1955,NA,NA,"(OP) Operating",NA,NA,NA,NA,NA,NA,"Gallia",38.9144,-82.1289,"-82.1289, 38.9144","38.9144, -82.1289"
"10","14015","Ohio Valley Electric Corp",2876,"Kyger Creek","Electric Utility","OH","3","","217.3","192.2","198.0","Conventional Steam Coal","BIT","ST",9,1955,NA,NA,"(OP) Operating",NA,NA,NA,NA,NA,NA,"Gallia",38.9144,-82.1289,"-82.1289, 38.9144","38.9144, -82.1289"
